CAiSE Workshops (1),7,114
UMICS,10,258
CAiSE Short Paper Proceedings,11,586
CAiSE Forum,8,282
CAiSE (Doctoral Consortium),3,40
BPMDS,7,196
BUSITAL,4,71
DISWEB,3,30
WISM,5,129
PhiSE,2,12
ReMo2V,5,88
CIAO! / EOMAS,7,229
MoDISE-EUS,4,44
CAIVD,9,1725
CAL,3,40
CaLC,11,668
CALCO,13,580
CALISCE,7,139
CAMP,1,7
CANPC,18,923
CANS,16,863
CAP,5,265
CAPTECH,11,546
CARDIS,7,157
CARS,22,3686
CASC,6,131
CASCON,19,1189
CASDMKM,8,136
CASES,12,713
CASSIS,9,466
Computers and Their Applications,5,115
CATA,4,64
CATE,9,249
Category Theory Applied to Computation and Control,7,212
Categorial Methods in Computer Science,9,208
CATS,12,515
Cryptographic Algorithms and their Uses,4,43
CAV,34,4258
CBMS,14,1512
CBSE,13,610
Component-Based Software Quality,8,275
CC,12,448
Semantics-Directed Compiler Generation,9,316
CCA,12,948
Algorithms and Parallel VLSI Architectures,10,253
CCCG,9,461
CCGRID,28,4571
CCIA,7,208
CCL,6,123
Computational Combinatorial Optimization,7,392
ACM Conference on Computer and Communications Security,45,7862
FMSE,17,958
ASIACCS,28,2349
Digital Rights Management Workshop,9,254
QoP,14,571
CSAW,9,265
STC,18,1000
NDA,4,75
VMSec,5,61
AISec,9,262
Component Deployment,17,1117
CDB,4,71
Constraint Databases,5,73
CDES,5,120
CDMA International Conference,7,1047
CDVE,6,209
CEAS,16,805
CEEMAS,18,1555
Artificial Intelligence in Higher Education,3,23
Conf. Computing Frontiers,15,1157
Canada-France Conference on Parallel and Distributed Computing,6,157
Computers and Games,12,396
Workshop on Computational Geometry,12,402
Computer Graphics International,23,2309
Computer Graphics and Imaging,7,245
CGO,21,1415
CGVR,5,74
CHARME,26,1887
CHDL,13,1282
CHES,26,2218
CHI Extended Abstracts,28,7112
CHI Conference Companion,52,15878
CHI,66,26427
CHI 95 Conference Companion,32,5663
INTERCHI Adjunct Proceedings,19,937
Ambient Intelligence for Scientific Discovery,5,62
INTERCHI,51,9114
Spatio-Temporal Databases: The CHOROCHRONOS Approach,3,127
CIA,16,945
CIAC,11,410
CIARP,9,629
CIBCB,7,291
Communications in Computing,7,195
CICLing,21,1821
CIDR,32,3164
CiE,13,652
CIIC,1,2
CIKM,41,10073
Workshop on New Paradigms in Information Visualization and Manipulation,16,723
Intelligent Hypertext,7,237
CIKM-KRAS,3,46
PIKM,6,144
CIMS,6,89
BooksOnline,5,101
PaIR,4,50
DTMBIO,5,79
WICOW,12,341
SSM,9,328
LSDS-IR,5,60
ONISW,6,71
Methods and Tools for Computer Integrated Manufacturing,4,87
Constraint-Based Mining and Inductive Databases,6,295
Database Support for Data Mining Applications,10,204
Methods of Programming,5,52
CIS,4,109
CIS (2),12,925
CIS (1),13,988
Inscrypt,8,305
CISC,8,302
CISM - Advances in Database Systems,5,94
Algorithmic Foundations of Geographic Information Systems,8,379
CISMOD,10,265
CISST,9,301
ICIT,11,539
CITA,2,30
CIVR,32,5678
Contemporary Knowledge Engineering and Cognition,7,163
Computational Logic,27,2329
CL-2000 Workshop on Computational Logic in Multi-Agent Systems,4,60
CLA,6,156
CLADE,8,292
CleanDB,7,253
CLEF,20,1550
CLIMA VII,8,149
CLIMA VI,9,215
CLIMA V,10,312
CLIMA III,6,107
CLIMA VIII,7,93
CLIMA IV,6,149
CLUSTER,21,1845
Cooperative Multimodal Communication,6,188
Multimodal Human-Computer Communication,9,286
Int. CMG Conference,9,493
CMMR,8,189
Communications and Multimedia Security,5,91
CMSB,14,627
CNKBS,6,470
CNSR,12,995
CoBuild,16,2028
Structure in Complexity Theory Conference,39,5718
IEEE Conference on Computational Complexity,20,1461
Combinatorics and Computer Science,8,433
COCOON,11,699
COCOS,11,265
CODAS,13,667
CODATA,2,15
CODES,40,5759
CODES+ISSS,16,1232
Coding Theory and Applications,8,347
COEA,4,34
Formal Aspects of Cognitive Processes,2,47
"Virtual Reality: Cognitive Foundations, Technological Issues & Philosophical Implications",2,19
COLING,27,3451
CoLIS,7,183
Collaboration between Human and Artificial Societies,8,409
Conference on Computer Logic,9,765
International Workshop on Constraint Solving and Constraint Logic Programming,9,170
COLT,27,2073
COLT/EuroCOLT,16,1890
COMAD,5,84
COMPASS/ADT,19,1319
COMPCON,31,4399
Symposium on Computational Geometry,19,1842
CompLife,9,414
COMPOS,18,1889
COMPSAC,15,1876
COMPSAC (2),20,1843
COMPSAC Workshops,7,279
COMPSAC (1),25,2748
New Trends in Constraints,11,266
COMSWARE,17,1454
CONCUR,18,1470
Seminar on Concurrency,15,1909
Concurrency,9,383
"Concurrency: Theory, Language, And Architecture",5,227
CONIELECOMP,3,52
CONPAR,24,2045
Constructivity in Computer Science,5,86
Digital Content Creation,4,42
CONTEXT,12,495
CONTEXT Workshop on Safety and Context,1,9
C&O:RR,5,56
CIR,3,35
ReTIeL,3,15
COODBSE,5,172
COOP,14,518
CoopIS/DOA/ODBASE,36,4675
CoopIS,36,4836
CoopIS/DOA/ODBASE (2),18,828
CoopIS/DOA/ODBASE (1),15,962
Concurrent Object-Oriented Programming and Petri Nets,10,511
COORDINATION,16,714
COOTS,28,2396
CORIA,6,122
COSIT,13,611
Compiler Optimizations for Scalable Parallel Systems Languages,7,423
COST 2102 School (Vietri),5,71
COST 237 Workshop,14,592
COST 2102 Workshop (Vietri),6,136
COST 2102 Workshop (Patras),6,99
CP,17,1367
Over-Constrained Systems,8,1320
"Constraint Processing, Selected Papers",8,227
Cryptography: Policy and Algorithms,9,376
CPAIOR,14,725
Computer Performance Evaluation,16,1190
Computer Performance Evaluation (Tools),12,662
Computer Performance Evaluation / TOOLS,26,2674
CPM,14,733
CPSN,2,22
CQRE,9,225
ASIS SIG/CR Classification Research Workshop,3,15
Information Systems Design Methodologies: Improving the Practice,6,257
Computerized Assistance During the Information Systems Life Cycle,5,157
CRIWG,8,328
CRV,9,502
CRW,6,146
CRYPTO,37,4791
Communication Systems and Applications,3,44
Computer Supported Acitivity Coordination,6,135
Computer Supported Activity Coordination,3,40
CSB Workshops,9,336
CSB,36,5252
CSC,5,112
CSCLP,5,82
CSCW,21,2047
CSCWD (Selected papers),8,289
CSCWD,10,1035
CSCWD (Selected Papers),8,222
CSEE,15,1015
CSEE&T,9,434
CSFW,48,6309
CSF,23,1790
CSL,15,890
CSLP,6,129
CSMR,17,1268
CSR,10,477
CSREA EEE,6,139
ESA/VLSI,7,137
Embedded Systems and Applications,8,187
